"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Editors","Publisher","PubMed ID","Document Type","Open Access","Source","EID"
"Miao Z.; Humphreys B.D.; McMahon A.P.; Kim J.","Miao, Zhen (57216798088); Humphreys, Benjamin D. (7007023300); McMahon, Andrew P. (7102763997); Kim, Junhyong (14034265200)","57216798088; 7007023300; 7102763997; 14034265200","Multi-omics integration in the age of million single-cell data","2021","Nature Reviews Nephrology","64","10.1038/s41581-021-00463-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113196912&doi=10.1038%2fs41581-021-00463-x&partnerID=40&md5=d2a4be3d5a06bc70781055d9a106a630","An explosion in single-cell technologies has revealed a previously underappreciated heterogeneity of cell types and novel cell-state associations with sex, disease, development and other processes. Starting with transcriptome analyses, single-cell techniques have extended to multi-omics approaches and now enable the simultaneous measurement of data modalities and spatial cellular context. Data are now available for millions of cells, for whole-genome measurements and for multiple modalities. Although analyses of such multimodal datasets have the potential to provide new insights into biological processes that cannot be inferred with a single mode of assay, the integration of very large, complex, multimodal data into biological models and mechanisms represents a considerable challenge. An understanding of the principles of data integration and visualization methods is required to determine what methods are best applied to a particular single-cell dataset. Each class of method has advantages and pitfalls in terms of its ability to achieve various biological goals, including cell-type classification, regulatory network modelling and biological process inference. In choosing a data integration strategy, consideration must be given to whether the multi-omics data are matched (that is, measured on the same cell) or unmatched (that is, measured on different cells) and, more importantly, the overall modelling and visualization goals of the integrated analysis. © 2021, Springer Nature Limited.","","Computational Biology; Data Analysis; Data Visualization; Epigenomics; Gene Expression Profiling; Genomics; Humans; Proteomics; Single-Cell Analysis; transcriptome; biological activity; biological model; biological phenomena and functions concerning the entire organism; biotechnology; cell assay; cells by body anatomy; classification; consensus; cytology; data base; data integration; data processing; genome analysis; human; multiomics; nonhuman; procedures concerning cells; quantitative study; regulatory mechanism; Review; RNA analysis; statistical model; validation study; biology; data analysis; epigenetics; gene expression profiling; genomics; proteomics; single cell analysis","","Nature Research","34417589","Review","All Open Access; Green Open Access","Scopus","2-s2.0-85113196912"
"Tordini F.","Tordini, Fabio (55694963300)","55694963300","A Cloud Solution for Multi-omics Data Integration","2017","Proceedings - 13th IEEE International Conference on Ubiquitous Intelligence and Computing, 13th IEEE International Conference on Advanced and Trusted Computing, 16th IEEE International Conference on Scalable Computing and Communications, IEEE International Conference on Cloud and Big Data Computing, IEEE International Conference on Internet of People and IEEE Smart World Congress and Workshops, UIC-ATC-ScalCom-CBDCom-IoP-SmartWorld 2016","4","10.1109/UIC-ATC-ScalCom-CBDCom-IoP-SmartWorld.2016.0096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013173815&doi=10.1109%2fUIC-ATC-ScalCom-CBDCom-IoP-SmartWorld.2016.0096&partnerID=40&md5=fdfd5e0c5e4bfbdf6447dacabfae544e","Recent advances in molecular biology, Bioinformatics techniques have brought to an explosion of the information about the spatial organisation of the DNA inside the nucleus. In particular, 3C-based techniques are revealing the genome folding for many different cell types, permit to create a more effective representation of the disposition of genes in the three-dimensional space. This information can be used to re-interpret heterogeneous genomic data (multi-omic) relying on 3D maps of the chromosome. The storage, computational requirements needed to accomplish such operations on raw sequenced data have to be fulfilled using HPC solutions, the the Cloud paradigm is a valuable, convenient mean for delivering HPC to Bioinformatics. In this work we describe a data analysis work-flow that allows the integration, the interpretation of multi-omic data on a sort of 'topographical' nuclear map, capable of representing the effective disposition of genes in a graph-based representation. We propose a cloud-based task farm pattern to orchestrate the services needed to accomplish genomic data analysis, where each service represents a special-purpose tool, playing a part in well known data analysis pipelines. © 2016 IEEE.","Bioinformatics; Cloud computing; High performance computing; Systems Biology","Bioinformatics; Cloud computing; Data handling; Data integration; Digital storage; Distributed computer systems; Flow graphs; Genes; Graphic methods; Information analysis; Molecular biology; Trusted computing; Ubiquitous computing; Cell types; Cloud-based; Computational requirements; Genomic data; Graph-based representations; High performance computing; Systems biology; Three dimensional space; Big data","El Baz D.; Bourgeois J.","Institute of Electrical and Electronics Engineers Inc.","","Conference paper","All Open Access; Green Open Access","Scopus","2-s2.0-85013173815"
"Doǧan T.; Atas H.; Joshi V.; Atakan A.; Rifaioglu A.S.; Nalbat E.; Nightingale A.; Saidi R.; Volynkin V.; Zellner H.; Cetin-Atalay R.; Martin M.; Atalay V.","Doǧan, Tunca (56940345200); Atas, Heval (57193009048); Joshi, Vishal (57219097298); Atakan, Ahmet (57220242380); Rifaioglu, Ahmet Sureyya (57188820872); Nalbat, Esra (57217949963); Nightingale, Andrew (55658231600); Saidi, Rabie (19640465900); Volynkin, Vladimir (57191502775); Zellner, Hermann (54782039300); Cetin-Atalay, Rengul (6602870986); Martin, Maria (57417303200); Atalay, Volkan (6602757969)","56940345200; 57193009048; 57219097298; 57220242380; 57188820872; 57217949963; 55658231600; 19640465900; 57191502775; 54782039300; 6602870986; 57417303200; 6602757969","CROssBAR: Comprehensive resource of biomedical relations with knowledge graph representations","2021","Nucleic Acids Research","15","10.1093/nar/gkab543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116276383&doi=10.1093%2fnar%2fgkab543&partnerID=40&md5=75cb2108c23064ae00c213638c4f0974","Systemic analysis of available large-scale biological/biomedical data is critical for studying biological mechanisms, and developing novel and effective treatment approaches against diseases. However, different layers of the available data are produced using different technologies and scattered across individual computational resources without any explicit connections to each other, which hinders extensive and integrative multi-omics-based analysis. We aimed to address this issue by developing a new data integration/representation methodology and its application by constructing a biological data resource. CROssBAR is a comprehensive system that integrates large-scale biological/biomedical data from various resources and stores them in a NoSQL database. CROssBAR is enriched with the deep-learning-based prediction of relationships between numerous data entries, which is followed by the rigorous analysis of the enriched data to obtain biologically meaningful modules. These complex sets of entities and relationships are displayed to users via easy-to-interpret, interactive knowledge graphs within an open-access service. CROssBAR knowledge graphs incorporate relevant genes-proteins, molecular interactions, pathways, phenotypes, diseases, as well as known/predicted drugs and bioactive compounds, and they are constructed on-the-fly based on simple non-programmatic user queries. These intensely processed heterogeneous networks are expected to aid systems-level research, especially to infer biological mechanisms in relation to genes, proteins, their ligands, and diseases.  © 2021 The Author(s) 2021.","","Computational Biology; Databases, Chemical; Databases, Genetic; Deep Learning; Humans; Software; access to information; Article; CROssBAR database; data base; deep learning; enzyme mechanism; gene function; genetic parameters; human; medical research; molecular interaction; nonhuman; NoSQL database; prediction; protein analysis; signal transduction; biology; chemical database; genetic database; procedures; software","","Oxford University Press","34181736","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85116276383"
"Biswas N.; Kumar K.; Bose S.; Bera R.; Chakrabarti S.","Biswas, Nupur (57219650708); Kumar, Krishna (57195995230); Bose, Sarpita (57206658216); Bera, Raisa (57221053301); Chakrabarti, Saikat (57203076265)","57219650708; 57195995230; 57206658216; 57221053301; 57203076265","Analysis of Pan-omics Data in Human Interactome Network (APODHIN)","2020","Frontiers in Genetics","7","10.3389/fgene.2020.589231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098057777&doi=10.3389%2ffgene.2020.589231&partnerID=40&md5=267b49ce9a01856191ded29a8b7e34c3","Analysis of Pan-omics Data in Human Interactome Network (APODHIN) is a platform for integrative analysis of transcriptomics, proteomics, genomics, and metabolomics data for identification of key molecular players and their interconnections exemplified in cancer scenario. APODHIN works on a meta-interactome network consisting of human protein–protein interactions (PPIs), miRNA-target gene regulatory interactions, and transcription factor-target gene regulatory relationships. In its first module, APODHIN maps proteins/genes/miRNAs from different omics data in its meta-interactome network and extracts the network of biomolecules that are differentially altered in the given scenario. Using this context specific, filtered interaction network, APODHIN identifies topologically important nodes (TINs) implementing graph theory based network topology analysis and further justifies their role via pathway and disease marker mapping. These TINs could be used as prospective diagnostic and/or prognostic biomarkers and/or potential therapeutic targets. In its second module, APODHIN attempts to identify cross pathway regulatory and PPI links connecting signaling proteins, transcription factors (TFs), and miRNAs to metabolic enzymes via utilization of single-omics and/or pan-omics data and implementation of mathematical modeling. Interconnections between regulatory components such as signaling proteins/TFs/miRNAs and metabolic pathways need to be elucidated more elaborately in order to understand the role of oncogene and tumor suppressors in regulation of metabolic reprogramming during cancer. APODHIN platform contains a web server component where users can upload single/multi omics data to identify TINs and cross-pathway links. Tabular, graphical and 3D network representations of the identified TINs and cross-pathway links are provided for better appreciation. Additionally, this platform also provides few example data analysis of cancer specific, single and/or multi omics dataset for cervical, ovarian, and breast cancers where meta-interactome networks, TINs, and cross-pathway links are provided. APODHIN platform is freely available at http://www.hpppi.iicb.res.in/APODHIN/home.html. © Copyright © 2020 Biswas, Kumar, Bose, Bera and Chakrabarti.","meta-interactome; multi-omics analysis; network analysis; pan-omics; pathway cross links","biological marker; messenger RNA; microRNA; proteome; transcription factor; transcriptome; Article; Ca Ski cell line; cancer prognosis; cross linking; data analysis; entropy; epigenetics; gene interaction; HeLa cell line; human; identification key; IGROV-1 cell line; mathematical model; MCF-7 cell line; metabolism; omics; phosphoproteomics; protein phosphorylation; protein protein interaction; signal transduction; SiHa cell line; SK-OV-3 cell line; upregulation; Western blotting","","Frontiers Media S.A.","","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85098057777"
"Lee B.; Zhang S.; Poleksic A.; Xie L.","Lee, Bohyun (57214912609); Zhang, Shuo (57747101000); Poleksic, Aleksandar (8626396900); Xie, Lei (57198836096)","57214912609; 57747101000; 8626396900; 57198836096","Heterogeneous Multi-Layered Network Model for Omics Data Integration and Analysis","2020","Frontiers in Genetics","53","10.3389/fgene.2019.01381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079483860&doi=10.3389%2ffgene.2019.01381&partnerID=40&md5=21fe01024a327ef90d6f1df8045c925a","Advances in next-generation sequencing and high-throughput techniques have enabled the generation of vast amounts of diverse omics data. These big data provide an unprecedented opportunity in biology, but impose great challenges in data integration, data mining, and knowledge discovery due to the complexity, heterogeneity, dynamics, uncertainty, and high-dimensionality inherited in the omics data. Network has been widely used to represent relations between entities in biological system, such as protein-protein interaction, gene regulation, and brain connectivity (i.e. network construction) as well as to infer novel relations given a reconstructed network (aka link prediction). Particularly, heterogeneous multi-layered network (HMLN) has proven successful in integrating diverse biological data for the representation of the hierarchy of biological system. The HMLN provides unparalleled opportunities but imposes new computational challenges on establishing causal genotype-phenotype associations and understanding environmental impact on organisms. In this review, we focus on the recent advances in developing novel computational methods for the inference of novel biological relations from the HMLN. We first discuss the properties of biological HMLN. Then we survey four categories of state-of-the-art methods (matrix factorization, random walk, knowledge graph, and deep learning). Thirdly, we demonstrate their applications to omics data integration and analysis. Finally, we outline strategies for future directions in the development of new HMLN models. © Copyright © 2020 Lee, Zhang, Poleksic and Xie.","biological data analysis; biological network; data mining and knowledge discovery; deep learning; link prediction; machine learning; relation inference","biology; data analysis; data integration; data mining; deep learning; environmental impact; genotype; knowledge discovery; phenotype; prediction; review","","Frontiers Media S.A.","","Review","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85079483860"
"Messaoudi C.; Fissoune R.; Badir H.","Messaoudi, Chaimaa (57204293808); Fissoune, Rachida (8310652500); Badir, Hassan (35316852100)","57204293808; 8310652500; 35316852100","IPDS: A semantic mediator-based system using Spark for the integration of heterogeneous proteomics data sources","2021","Concurrency and Computation: Practice and Experience","6","10.1002/cpe.5814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085547102&doi=10.1002%2fcpe.5814&partnerID=40&md5=f2b66df621c9035816149ff0479c2179","With the constant rise of data volumes in many disciplines, various new Big data management systems have emerged to provide scalable tools for efficient data integration, processing, and analysis. In this article, we provide an overview of biomedical data integration systems focusing on ontology-based semantic systems and Big data technologies based systems such as Apache Spark. We also propose a new semantic data integration system, called Integrated Proteomics Data System (IPDS), which uses a mediator approach. IPDS provides users a unified interface for query processing and data exploration. This system takes advantage of the Apache Spark framework to perform the query transformation and execution needed to question the integrated data sources. We develop a domain ontology that allows the user to formulate its queries in terms defined in the ontology. IPDS is a case study of semantic proteomics data integration linking four data sources UniProt (protein annotation), String (protein-protein interaction), PDB (protein structure), and Pubmed (biomedical citation). © 2020 John Wiley & Sons, Ltd.","Apache spark; mediator; ontology; proteomics; semantic data integration","Big data; Data integration; Metadata; Ontology; Proteins; Proteomics; Search engines; Semantics; Biomedical citations; Biomedical data integration; Data management system; Data technologies; Protein annotation; Protein structures; Protein-protein interactions; Query transformations; Information management","","John Wiley and Sons Ltd","","Conference paper","","Scopus","2-s2.0-85085547102"
"Uppal K.; Ma C.; Go Y.-M.; Jones D.P.","Uppal, Karan (37666186700); Ma, Chunyu (57200855021); Go, Young-Mi (7004343767); Jones, Dean P. (7406579457)","37666186700; 57200855021; 7004343767; 7406579457","XMWAS: A data-driven integration and differential network analysis tool","2018","Bioinformatics","104","10.1093/bioinformatics/btx656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042555096&doi=10.1093%2fbioinformatics%2fbtx656&partnerID=40&md5=f9ff8f6fad1fbe7c61eb7aea6a49cadd","Summary Integrative omics is a central component of most systems biology studies. Computational methods are required for extracting meaningful relationships across different omics layers. Various tools have been developed to facilitate integration of paired heterogenous omics data; however most existing tools allow integration of only two omics datasets. Furthermore, existing data integration tools do not incorporate additional steps of identifying sub-networks or communities of highly connected entities and evaluating the topology of the integrative network under different conditions. Here we present xMWAS, a software for data integration, network visualization, clustering, and differential network analysis of data from biochemical and phenotypic assays, and two or more omics platforms. Availability and implementation https://kuppal.shinyapps.io/xmwas (Online) and https://github.com/kuppal2/xMWAS/ (R) Contact kuppal2@emory.edu Supplementary informationSupplementary dataare available at Bioinformatics online. © The Author 2017. Published by Oxford University Press. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com.","","Animals; Gene Expression Regulation; Influenza A Virus, H1N1 Subtype; Metabolic Networks and Pathways; Mice; Software; Systems Biology; animal; gene expression regulation; Influenza A virus (H1N1); metabolism; mouse; procedures; software; systems biology","","Oxford University Press","29069296","Article","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85042555096"
"Shakyawar S.K.; Sethi S.; Southekal S.; Mishra N.K.; Guda C.","Shakyawar, Sushil K. (37031997700); Sethi, Sahil (57543989200); Southekal, Siddesh (57209912175); Mishra, Nitish K. (16835085100); Guda, Chittibabu (6603526763)","37031997700; 57543989200; 57209912175; 16835085100; 6603526763","Big data analytics for modeling COVID-19 and comorbidities: An unmet need","2021","EAI/Springer Innovations in Communication and Computing","0","10.1007/978-3-030-68936-0_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105468835&doi=10.1007%2f978-3-030-68936-0_10&partnerID=40&md5=0e54c35c3746ae52797a70da43c3ac79","The COVID-19 pandemic has been a global health crisis since December 2019, when the first infection was reported in Wuhan, China. The critical and lethal advancement of this disease is associated with the failure of multiple organs including, but not limited to, the brain, lungs, heart, liver, kidneys, etc., which makes it very challenging to understand. Current high-throughput technologies generate multi-omics datasets to enable a comprehensive and in-depth analysis of different organs at the cellular and molecular level. To understand the multi-organ impact of COVID-19 and the mechanistic aspects of disease prognosis and its interactions with other comorbidities, computational approaches need to be implemented by integrating data from multiple organs, correlating results across data types, and applying machine learning (ML) tools on the high-throughput data. This chapter is expected to provide valuable insights to help explain the multi-organ association of COVID-19 using state-of-the-art computational resources and modeling of high-volume data. We have emphasized the importance of big data analytics and systematic integration of data from different domains including omics, clinical, demographic, and others in understanding the organ- and system-level biological processes and comorbidity networks associated with COVID-19. These findings and proposed strategies could help perform comorbidity-focused studies to understand and tackle COVID-19. © Springer Nature Switzerland AG 2021.","Artificial intelligence; Big data analytics; Comorbidity network modeling; COVID-19 comorbidities; Data integration; Machine learning","Big data; Biological organs; Data Analytics; Data integration; Diagnosis; Epidemiology; Biological process; Computational approach; Computational resources; High throughput technology; High-throughput data; In-depth analysis; Mechanistic aspects; Systematic integration; Advanced Analytics","","Springer Science and Business Media Deutschland GmbH","","Book chapter","","Scopus","2-s2.0-85105468835"
"Pouladi N.; Achour I.; Li H.; Berghout J.; Kenost C.; Gonzalez-Garay M.L.; Lussier Y.A.","Pouladi, N. (56993419900); Achour, I. (57203021737); Li, H. (55001719600); Berghout, J. (6504312149); Kenost, C. (56344159700); Gonzalez-Garay, M.L. (6602528509); Lussier, Y.A. (7004101223)","56993419900; 57203021737; 55001719600; 6504312149; 56344159700; 6602528509; 7004101223","Biomechanisms of Comorbidity: Reviewing Integrative Analyses of Multi-omics Datasets and Electronic Health Records","2016","Yearbook of medical informatics","6","10.15265/iy-2016-040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021858894&doi=10.15265%2fiy-2016-040&partnerID=40&md5=17cbb1edf38760155e98bc3ca4df4f07","METHODS: We retrieved ~130 publications and retained 59, ranging from 2006 to 2015, that comprise a minimum number of five diseases and at least one type of biomolecule. We surveyed their methods, disease similarity metrics, and calculation of comorbidities in the electronic health records, if present.; RESULTS: Among the surveyed studies, 44% generated or validated disease similarity metrics in context of comorbidity, with 60% being published in the last two years. As inputs, 87% of studies utilized intragenic loci and proteins while 13% employed RNA (mRNA, LncRNA or miRNA). Network modeling was predominantly used (35%) followed by statistics (28%) to impute similarity between these biomolecules and diseases. Studies with large numbers of biomolecules and diseases used network models or naïve overlap of disease-molecule associations, while machine learning, statistics, and information retrieval were utilized in smaller and moderate sized studies. Multiscale computations comprising shared function, network topology, and phenotypes were performed exclusively on proteins.; CONCLUSION: This review highlighted the growing methods for identifying the molecular mechanisms underpinning comorbidities that leverage multiscale molecular information and patterns from electronic health records. The survey unveiled that intergenic polymorphisms have been overlooked for similarity imputation compared to their intragenic counterparts, offering new opportunities to bridge the mechanistic and similarity gaps of comorbidity.; OBJECTIVES: Disease comorbidity is a pervasive phenomenon impacting patients' health outcomes, disease management, and clinical decisions. This review presents past, current and future research directions leveraging both phenotypic and molecular information to uncover disease similarity underpinning the biology and etiology of disease comorbidity.","biomolecules; Comorbidity; disease similarity; electronic health records; function; integrative data analysis; modularity; omics; phenome","Bibliometrics; Comorbidity; Computational Biology; Data Mining; Datasets as Topic; Electronic Health Records; Genetic Variation; Genomics; Humans; Phenotype; bibliometrics; biology; comorbidity; data mining; electronic health record; genetic variation; genomics; human; information processing; phenotype","","","27830251","Review","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85021858894"
"Zhou Y.; Fang J.; Bekris L.M.; Kim Y.H.; Pieper A.A.; Leverenz J.B.; Cummings J.; Cheng F.","Zhou, Yadi (57205439326); Fang, Jiansong (55751614400); Bekris, Lynn M. (6602569650); Kim, Young Heon (57221527686); Pieper, Andrew A. (7003682505); Leverenz, James B. (7004039375); Cummings, Jeffrey (7402590824); Cheng, Feixiong (36514277000)","57205439326; 55751614400; 6602569650; 57221527686; 7003682505; 7004039375; 7402590824; 36514277000","AlzGPS: a genome-wide positioning systems platform to catalyze multi-omics for Alzheimer’s drug discovery","2021","Alzheimer's Research and Therapy","28","10.1186/s13195-020-00760-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099335519&doi=10.1186%2fs13195-020-00760-w&partnerID=40&md5=9760ae122cb656f8ad880f2375bf9acb","Background: Recent DNA/RNA sequencing and other multi-omics technologies have advanced the understanding of the biology and pathophysiology of AD, yet there is still a lack of disease-modifying treatments for AD. A new approach to integration of the genome, transcriptome, proteome, and human interactome in the drug discovery and development process is essential for this endeavor. Methods: In this study, we developed AlzGPS (Genome-wide Positioning Systems platform for Alzheimer’s Drug Discovery, https://alzgps.lerner.ccf.org), a comprehensive systems biology tool to enable searching, visualizing, and analyzing multi-omics, various types of heterogeneous biological networks, and clinical databases for target identification and development of effective prevention and treatment for AD. Results: Via AlzGPS: (1) we curated more than 100 AD multi-omics data sets capturing DNA, RNA, protein, and small molecule profiles underlying AD pathogenesis (e.g., early vs. late stage and tau or amyloid endophenotype); (2) we constructed endophenotype disease modules by incorporating multi-omics findings and human protein-protein interactome networks; (3) we provided possible treatment information from ~ 3000 FDA approved/investigational drugs for AD using state-of-the-art network proximity analyses; (4) we curated nearly 300 literature references for high-confidence drug candidates; (5) we included information from over 1000 AD clinical trials noting drug’s mechanisms-of-action and primary drug targets, and linking them to our integrated multi-omics view for targets and network analysis results for the drugs; (6) we implemented a highly interactive web interface for database browsing and network visualization. Conclusions: Network visualization enabled by AlzGPS includes brain-specific neighborhood networks for genes-of-interest, endophenotype disease module networks for omics-of-interest, and mechanism-of-action networks for drugs targeting disease modules. By virtue of combining systems pharmacology and network-based integrative analysis of multi-omics data, AlzGPS offers actionable systems biology tools for accelerating therapeutic development in AD. © 2021, The Author(s).","Alzheimer’s disease; Clinical trial; Drug repurposing; Genomics; Mechanism-of-action; Multi-omics; Network medicine; Systems pharmacology","Alzheimer Disease; Drug Discovery; Humans; Proteome; Systems Biology; Transcriptome; DNA; protein; RNA; proteome; transcriptome; Alzheimer disease; Article; database management system; drug repositioning; gene targeting; genomics; human; interactomics; nonhuman; omics; pathogenesis; priority journal; protein protein interaction; proteomics; single nucleotide polymorphism; systems biology; transcriptomics; Alzheimer disease; drug development; genetics","","BioMed Central Ltd","33441136","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85099335519"
"Jang Y.; Yu N.; Seo J.; Kim S.; Lee S.","Jang, Yeongjun (57220168390); Yu, Namhee (55250244700); Seo, Jihae (57188750237); Kim, Sun (36063436900); Lee, Sanghyuk (57212112170)","57220168390; 55250244700; 57188750237; 36063436900; 57212112170","MONGKIE: An integrated tool for network analysis and visualization for multi-omics data","2016","Biology Direct","21","10.1186/s13062-016-0112-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962784481&doi=10.1186%2fs13062-016-0112-y&partnerID=40&md5=0d9e8a12025f0909a69cce5eafcde48f","Background: Network-based integrative analysis is a powerful technique for extracting biological insights from multilayered omics data such as somatic mutations, copy number variations, and gene expression data. However, integrated analysis of multi-omics data is quite complicated and can hardly be done in an automated way. Thus, a powerful interactive visual mining tool supporting diverse analysis algorithms for identification of driver genes and regulatory modules is much needed. Results: Here, we present a software platform that integrates network visualization with omics data analysis tools seamlessly. The visualization unit supports various options for displaying multi-omics data as well as unique network models for describing sophisticated biological networks such as complex biomolecular reactions. In addition, we implemented diverse in-house algorithms for network analysis including network clustering and over-representation analysis. Novel functions include facile definition and optimized visualization of subgroups, comparison of a series of data sets in an identical network by data-to-visual mapping and subsequent overlaying function, and management of custom interaction networks. Utility of MONGKIE for network-based visual data mining of multi-omics data was demonstrated by analysis of the TCGA glioblastoma data. MONGKIE was developed in Java based on the NetBeans plugin architecture, thus being OS-independent with intrinsic support of module extension by third-party developers. Conclusion: We believe that MONGKIE would be a valuable addition to network analysis software by supporting many unique features and visualization options, especially for analysing multi-omics data sets in cancer and other diseases. Reviewers: This article was reviewed by Prof. Limsoon Wong, Prof. Soojin Yi, and Maciej M Kańduła (nominated by Prof. David P Kreil). © 2016 Jang et al.","Graph clustering; Network modeling; Network visualization; Omics data analysis; Over-representation analysis","Algorithms; Computational Biology; DNA Copy Number Variations; Software; algorithm; biology; copy number variation; genetics; software","","BioMed Central Ltd.","26987515","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84962784481"
"Kim S.; Thapa I.; Ali H.","Kim, Suyeon (57201744284); Thapa, Ishwor (23398569100); Ali, Hesham (57211770938)","57201744284; 23398569100; 57211770938","A multi-omics graph database for data integration and knowledge extraction","2022","Proceedings of the 13th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics, BCB 2022","0","10.1145/3535508.3545517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137325687&doi=10.1145%2f3535508.3545517&partnerID=40&md5=6d7ce7ab57744567d94f60dcd40ab448","Major recent advances in sequencing technologies have created new opportunities for studying the complex microbiome domain. However, microbial communities have many unknown roles and unclear impacts on their host environment. The increased availability of microbial omics data associated with heterogeneous metadata has the potential to revolutionize microbiome research. This study proposes a novel data-integration model and a practical pipeline to explore microbial community functions with the integration of omics data. Three case studies were employed to highlight the advanced abilities and applications of our graph database model. Furthermore, we show that a variety of information can be queried against our model and easily extracted using the proposed analysis pipeline. Our findings suggest that the proposed model is highly queryable and provides a critical analytical platform to extract useful knowledge from multi-omics data. We show that such knowledge extraction can lead to new discoveries, particularly when utilizing all available datasets. © 2022 ACM.","Data integration; Data mining; Graph-based database models; Inflammatory bowel disease; Information systems; Microbiome; Neo4j","Data integration; Extraction; Graph Databases; Graphic methods; Microorganisms; Pipelines; 'omics'; Database modeling; Graph database; Graph-based; Graph-based database model; Inflammatory bowel disease; Knowledge extraction; Microbial communities; Microbiome; Neo4j; Data mining","","Association for Computing Machinery, Inc","","Conference paper","","Scopus","2-s2.0-85137325687"
"Tordini F.; Drocco M.; Merelli I.; Milanesi L.; Liò P.; Aldinucci M.","Tordini, Fabio (55694963300); Drocco, Maurizio (37097099800); Merelli, Ivan (12771696900); Milanesi, Luciano (7003682778); Liò, Pietro (7004223170); Aldinucci, Marco (8844070100)","55694963300; 37097099800; 12771696900; 7003682778; 7004223170; 8844070100","NuChart-II: A graph-based approach for analysis and interpretation of Hi-C data","2015","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","2","10.1007/978-3-319-24462-4_25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949937005&doi=10.1007%2f978-3-319-24462-4_25&partnerID=40&md5=1ea7af26a321ae8d601328131c0f0cdc","Long-range chromosomal associations between genomic regions, and their repositioning in the 3D space of the nucleus, are now considered to be key contributors to the regulation of gene expressions and DNA rearrangements. Recent Chromosome Conformation Capture (3C) measurements performed with high throughput sequencing techniques (Hi-C) and molecular dynamics studies show that there is a large correlation between co-localization and co-regulation of genes, but these important researches are hampered by the lack of biologists-friendly analysis and visualisation software. In this work we present NuChart-II, a software that allows the user to annotate and visualize a list of input genes with information relying on Hi-C data, integrating knowledge data about genomic features that are involved in the chromosome spatial organization. This software works directly with sequenced reads to identify related Hi-C fragments, with the aim of creating gene-centric neighbourhood graphs on which multi-omics features can be mapped. NuChart-II is a highly optimized implementation of a previous prototype developed in R, in which the graph-based representation of Hi-C data was tested. The prototype showed inevitable problems of scalability while working genome-wide on large datasets: particular attention has been paid in order to obtain an efficient parallel implementation of the software. The normalization of Hi-C data has been modified and improved, in order to provide a reliable estimation of proximity likelihood for the genes. © Springer International Publishing Switzerland 2015.","Chromosome conformation capture; Hi-C data; Neighbourhood graph; Parallel computing; Systems biology","Artificial intelligence; Bioinformatics; Chromosomes; Gene expression; Gene expression regulation; Genes; Graphic methods; Molecular dynamics; Parallel processing systems; Chromosome conformation capture (3c); Graph-based representations; Hi-C data; High-throughput sequencing; Neighbourhood graphs; Optimized implementation; Parallel implementations; Systems biology; C (programming language)","Lio P.; di Serio C.; Nonis A.; Tagliaferri R.; Dipartimento di Informatica, Universita degli Studi di Salerno, NeuRoNe Lab, via Giovanni Paolo II 132, Fisciano, Salerno, 84084","Springer Verlag","","Conference paper","All Open Access; Green Open Access","Scopus","2-s2.0-84949937005"
